2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Substance Use Disorder Treatment - DMC12,Engagement of Substance Use Disorder Treatment - DMC13,Initiation and Engagement of Substance Use Disorder Treatment Average DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Physical Functioning Activities of Daily Living - DMC20,Care of Older Adults - Functional Status - DMC21,Kidney Health Evaluation for Patients With Diabetes - DMC22,Improving or Maintaining Physical Health - DMC23,Improving or Maintaining Mental Health - DMC24,Cardiac Rehabiliation - Acheivement - DMC25,Cardiac Rehabiliation - Engagement 1 - DMC26,Cardiac Rehabiliation - Engagement 2 - DMC27,Cardiac Rehabilation - Initiation - DMC28,Colorectal Cancer Screening (Age 45-75) - DMC29,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Persistence to Basal Insulin (PST-INS) - DMD16,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H2715,Molina Healthcare of Illinois,MOLINA HEALTHCARE OF ILLINOIS INC,"Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:05,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2722,Primewell Health Services,"PRIMEWELL HEALTH SERVICES OF ARKANSAS, INC.",Louisiana Health Service & Indemnity Company,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:36,Plan too small to be measured,93%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,42%,27%,79%,9%,Plan too new to be measured,59%,10%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,57%,0.00%,0:36,100,0:46,47,No data available,No data available,No data available,No data available,13.63%,3.88%,0.00%,12.65%,15.38%,26.21%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2737,Health New England Medicare Advantage Plans,"HEALTH NEW ENGLAND, INC.","Baystate Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,91,0:37,74%,96%,1.01%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,10%,73%,62%,93%,51%,Plan too new to be measured,Plan not required to report measure,64%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,77%,0.00%,0:52,106,1:04,71,49%,23%,No data available,No data available,19.43%,10.03%,0.00%,2.51%,8.18%,7.19%,No data available,0.58,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2752,Cigna Healthcare,CIGNA HEALTHCARE OF CONNECTICUT INC.,The Cigna Group,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:40,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Not enough data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:40,70,0:21,50,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2765,"Summit Health Plan, Inc.","SUMMIT HEALTH PLAN, INC.","Moda Partners, Inc.",Not enough data available,71%,Not enough data available,8%,93,0:21,64%,93%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,12%,61%,54%,88%,37%,Plan too new to be measured,Plan not required to report measure,46%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,68%,1.00%,0:21,100,0:16,46,31%,23%,23%,No data available,2.63%,5.54%,0.00%,12.80%,11.53%,12.93%,71.88%,8.48,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2775,Wellcare,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Centene Corporation,57%,66%,95%,26%,92,0:24,62%,93%,0.00%,77%,81%,39%,7%,23%,14%,45%,19%,82%,14%,98%,63%,37%,67%,85%,1%,5%,4%,3%,62%,0.00%,0:24,101,1:07,93,54%,28%,10%,14%,13.97%,7.78%,0.13%,9.05%,9.15%,14.71%,70.56%,7.68,19%,35%,22%,Not Available,24%,60
H2782,Western Health Advantage,WESTERN HEALTH ADVANTAGE,Western Health Advantage,Not enough data available,68%,Not enough data available,Not enough data available,Not enough data available,0:56,72%,93%,9.00%,Not enough data available,Not enough data available,18%,2%,10%,11%,80%,73%,86%,55%,Plan too new to be measured,Plan not required to report measure,60%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,74%,9.00%,0:56,99,0:09,95,48%,22%,23%,No data available,16.14%,11.01%,0.00%,8.28%,9.47%,18.85%,67.35%,13.55,Not Available,Not Available,Not Available,Not Available,Not Available,60
H2793,"Imperial Insurance Companies, Inc",IMPERIAL INSURANCE COMPANIES INC.,Imperial Health Plan of California,Not enough data available,53%,Not enough data available,Not enough data available,Not enough data available,0:35,62%,94%,0.00%,Not enough data available,Not enough data available,37%,5%,21%,15%,100%,50%,92%,32%,95%,76%,54%,70%,86%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,81%,0.00%,0:35,100,0:21,48,60%,41%,14%,No data available,7.69%,6.07%,0.00%,8.38%,12.54%,11.41%,68.18%,2.69,41%,46%,8%,Not Available,28%,80
H2802,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",46%,67%,89%,28%,92,0:35,76%,96%,1.61%,75%,82%,39%,4%,21%,13%,64%,19%,85%,20%,97%,83%,51%,68%,83%,8%,18%,16%,14%,78%,1.61%,0:35,100,0:46,72,54%,26%,11%,13%,14.87%,3.93%,0.30%,8.58%,11.54%,14.64%,66.74%,2.95,14%,14%,17%,6%,11%,100
H2816,Wellcare,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,18%,92,0:22,77%,92%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,15%,39%,22%,77%,17%,95%,Plan not required to report measure,32%,68%,78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,50%,0.00%,0:22,100,1:07,94,Not enough data available,22%,8%,No data available,7.90%,2.25%,0.00%,4.33%,5.66%,21.79%,80.00%,1.61,Not Available,Not Available,Not Available,Not Available,Not Available,60
H2819,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2825,Mary Washington Medicare Advantage,MARY WASHINGTON HEALTH PLAN,Mary Washington Healthcare,Not enough data available,77%,Not enough data available,Not enough data available,91,0:34,79%,97%,0.00%,Not enough data available,Not enough data available,16%,0%,8%,19%,66%,56%,90%,48%,Plan too new to be measured,Plan not required to report measure,61%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,73%,0.00%,0:34,98,0:21,47,53%,22%,11%,No data available,6.99%,3.25%,0.65%,4.93%,8.09%,8.47%,68.42%,11.1,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2836,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.","Elevance Health, Inc.",58%,73%,Not enough data available,35%,Not enough data available,1:25,66%,96%,0.00%,68%,91%,40%,12%,26%,18%,81%,19%,88%,21%,Plan too small to be measured,66%,52%,Plan too small to be measured,Plan too small to be measured,4%,15%,9%,4%,80%,1.00%,0:11,100,0:41,96,57%,32%,14%,No data available,20.94%,13.90%,0.50%,11.16%,12.86%,12.71%,73.31%,11.09,13%,10%,19%,Not Available,8%,100
H2853,Ascension Complete,CENTENE VENTURE COMPANY TENNESSEE,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:33,66%,90%,4.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,26%,38%,10%,74%,5%,Plan too new to be measured,Plan not required to report measure,53%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,49%,4.00%,0:33,101,0:11,92,54%,26%,9%,No data available,13.00%,0.00%,0.00%,6.41%,8.83%,16.85%,57.58%,17.59,19%,34%,30%,Not Available,Not Available,60
H2879,Molina Healthcare of Wisconsin and Massachusetts,"MOLINA HEALTHCARE OF WISCONSIN, INC.","Molina Healthcare, Inc.,",38%,54%,Not enough data available,Not enough data available,Not enough data available,0:08,50%,90%,0.50%,83%,93%,51%,8%,30%,15%,42%,17%,70%,14%,92%,69%,31%,70%,72%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,60%,0.50%,0:08,100,1:06,90,56%,43%,17%,No data available,8.67%,6.15%,1.97%,9.61%,13.07%,9.46%,68.63%,17.48,Not Available,Not Available,Not Available,Not Available,Not Available,60
H2915,Wellcare by Allwell,"PENNSYLVANIA HEALTH & WELLNESS, INC.",Centene Corporation,38%,66%,Not enough data available,24%,92,0:32,59%,90%,11.50%,78%,85%,39%,6%,22%,23%,44%,18%,76%,13%,88%,65%,42%,73%,83%,3%,4%,7%,3%,50%,11.50%,0:32,103,0:11,90,51%,43%,13%,14%,15.14%,11.61%,0.24%,11.63%,14.35%,17.03%,69.82%,6.46,27%,34%,11%,16%,19%,60
H2923,Devoted Health,DEVOTED HEALTH PLAN OF OREGON INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:05,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2926,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:12,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:12,98,0:16,96,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,0.00%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2942,Cox HealthPlans,COX HEALTH SYSTEMS HMO INC,CoxHealth,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:20,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:15,No data available,0:19,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2944,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,61%,Not enough data available,23%,Not enough data available,1:59,67%,96%,3.19%,Not enough data available,Not enough data available,41%,3%,22%,21%,74%,32%,89%,20%,95%,Plan not required to report measure,25%,66%,80%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,65%,3.19%,1:59,100,0:09,85,57%,39%,12%,No data available,12.08%,7.72%,0.00%,7.86%,12.61%,25.46%,56.47%,1.21,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2960,Senior Care Plus,"HOMETOWN HEALTH PLAN, INC.",Renown Health,Not enough data available,63%,Not enough data available,35%,93,0:26,83%,96%,0.00%,77%,88%,14%,2%,8%,14%,95%,97%,96%,91%,97%,97%,67%,71%,83%,12%,18%,17%,6%,81%,0.00%,0:09,99,0:25,94,54%,26%,10%,No data available,11.94%,5.25%,0.08%,7.65%,10.67%,12.47%,64.43%,2.78,17%,31%,20%,Not Available,13%,80
H2962,Ultimate Health Plans,"ULTIMATE HEALTH PLANS, INC.","Ultimate Healthcare Holdings, LLC",29%,70%,Not enough data available,33%,89,0:28,63%,96%,2.00%,80%,88%,13%,0%,7%,8%,84%,39%,90%,16%,98%,95%,84%,70%,84%,2%,3%,3%,2%,82%,0.00%,1:13,99,1:02,66,57%,35%,7%,No data available,21.33%,8.17%,0.00%,9.38%,12.21%,13.01%,73.11%,5.93,16%,23%,13%,7%,16%,100
H2986,Essence Healthcare,"Essence Healthcare of California, Inc.",Lumeris Group Holdings Corporation,Not enough data available,63%,Not enough data available,21%,91,0:21,83%,96%,0.00%,Not enough data available,Not enough data available,23%,2%,13%,10%,79%,79%,94%,50%,100%,Plan not required to report measure,72%,73%,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,86%,0.00%,0:21,100,0:20,96,53%,24%,13%,No data available,9.14%,4.32%,0.54%,6.17%,7.50%,5.75%,50.31%,21.41,Not Available,Not Available,Not Available,Not Available,Not Available,80
H3015,Shared Health Dual Plus,"SHARED HEALTH MISSISSIPPI, INC.",BlueCross BlueShield of Tennessee,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:42,Plan too small to be measured,90%,2.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,19%,0%,76%,0%,Plan too new to be measured,29%,11%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2.00%,0:42,95,1:06,97,No data available,No data available,No data available,No data available,8.13%,2.19%,0.00%,0.00%,14.87%,18.91%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
